"Time","superficie s11"
2023-08-13 18:00:00,34.14
2023-08-13 19:00:00,34.03
2023-08-13 20:00:00,33.84
2023-08-13 21:00:00,33.63
2023-08-13 22:00:00,33.47
2023-08-13 23:00:00,33.30
2023-08-14 00:00:00,33.12
2023-08-14 01:00:00,32.98
2023-08-14 02:00:00,32.83
2023-08-14 03:00:00,32.71
2023-08-14 04:00:00,32.58
2023-08-14 05:00:00,32.48
2023-08-14 06:00:00,32.35
2023-08-14 07:00:00,32.21
2023-08-14 08:00:00,32.14
2023-08-14 09:00:00,32.14
2023-08-14 10:00:00,32.27
2023-08-14 11:00:00,32.60
2023-08-14 12:00:00,33.00
2023-08-14 13:00:00,33.02
2023-08-14 14:00:00,33.47
2023-08-14 15:00:00,33.80
2023-08-14 16:00:00,34.14
2023-08-14 17:00:00,34.26
2023-08-14 18:00:00,34.26
2023-08-14 19:00:00,34.14
2023-08-14 20:00:00,33.97
